	Acute Myeloid Leukemia	Adenosquamous Carcinoma of the Pancreas	Adrenocortical Carcinoma	Ampullary Carcinoma	Anaplastic Thyroid Cancer	B-Lymphoblastic Leukemia/Lymphoma	Bladder Squamous Cell Carcinoma	Bladder Urothelial Carcinoma	Breast Ductal Carcinoma In Situ	Breast Neoplasm, NOS	CIC-DUX4 Sarcoma	Cervical Adenocarcinoma	Cervical Squamous Cell Carcinoma	Chondrosarcoma	Colorectal Adenocarcinoma	Cutaneous Squamous Cell Carcinoma	Diffuse Glioma	Embryonal Tumor	Endometrial Carcinoma	Epithelioid Sarcoma	Esophageal Squamous Cell Carcinoma	Esophagogastric Adenocarcinoma	Ewing Sarcoma	Fibrosarcoma	Gestational Trophoblastic Disease	Glassy Cell Carcinoma of the Cervix	Head and Neck Carcinoma, Other	Head and Neck Squamous Cell Carcinoma	Hepatoblastoma	Hepatocellular Carcinoma	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hodgkin Lymphoma	Intracholecystic Papillary Neoplasm	Intraductal Papillary Neoplasm of the Bile Duct	Invasive Breast Carcinoma	Leiomyosarcoma	Liposarcoma	Lung Neuroendocrine Tumor	Mature B-Cell Neoplasms	Mature T and NK Neoplasms	Medullary Thyroid Cancer	Melanoma	Meningothelial Tumor	Merkel Cell Carcinoma	Mixed Cervical Carcinoma	Mucosal Melanoma of the Vulva/Vagina	Myelodysplastic Syndromes	Myeloproliferative Neoplasms	Nerve Sheath Tumor	Neuroblastoma	Non-Cancerous	Non-Hodgkin Lymphoma	Non-Seminomatous Germ Cell Tumor	Non-Small Cell Lung Cancer	Ocular Melanoma	Osteosarcoma	Ovarian Cancer, Other	Ovarian Epithelial Tumor	Ovarian Germ Cell Tumor	Pancreatic Adenocarcinoma	Pancreatic Neuroendocrine Tumor	Pleural Mesothelioma	Poorly Differentiated Thyroid Cancer	Prostate Adenocarcinoma	Prostate Small Cell Carcinoma	Renal Cell Carcinoma	Retinoblastoma	Rhabdoid Cancer	Rhabdomyosarcoma	SMARCA4-deficient undifferentiated tumor	Sarcoma, NOS	Small Bowel Cancer	Squamous Cell Carcinoma of the Vulva/Vagina	Synovial Sarcoma	T-Lymphoblastic Leukemia/Lymphoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Urethral Cancer	Uterine Sarcoma/Mesenchymal	Well-Differentiated Thyroid Cancer
PRDM15	0.654401	0.649428	0.659612	0.666426	0.659892	0.649656	0.664646	0.657123	0.653266	0.658425	0.653173	0.655909	0.6545	0.66075	0.660227	0.666417	0.655639	0.662407	0.657045	0.661522	0.659054	0.661821	0.651683	0.653682	0.666858	0.670633	0.6667	0.664564	0.661197	0.656761	0.671961	0.651866	0.670681	0.667777	0.657002	0.659995	0.66932	0.644223	0.638707	0.658168	0.650926	0.657048	0.660892	0.664397	0.66391	0.668933	0.661179	0.654611	0.669215	0.660644	0.660877	0.649279	0.667602	0.65614	0.669525	0.65929	0.66878	0.659635	0.662541	0.663619	0.66228	0.663764	0.648214	0.649469	0.652425	0.662197	0.65617	0.654751	0.660207	0.648795	0.658425	0.645669	0.681751	0.663944	0.648469	0.664246	0.656112	0.657234	0.661411
DMRTC2	0.690599	0.693147	0.693147	0.693147	0.693147	0.675938	0.693147	0.693147	0.214762	0.693147	0.693147	0.693147	0.693147	0.693147	0.686801	0.693147	0.665492	0.693147	0.689932	0.693147	0.689047	0.669901	0.688375	0.693147	0.668174	0.693147	0.693147	0.686678	0.693147	0.688738	0.693147	0.67126	0.668276	0.677826	0.531616	0.693147	0.693147	0.622077	0.685612	0.693147	0.693147	0.664762	0.693147	0.693147	0.693147	0.693147	0.693147	0.653215	0.693147	0.684825	0.689507	0.693147	0.649358	0.530798	0.693147	0.693147	0.693147	0.675505	0.693147	0.67234	0.693147	0.693147	0.693147	0.477514	0.693147	0.693147	0.693147	0.685918	0.682741	0.676837	0.693147	0.693147	0.693147	0.693147	0.693147	0.693147	0.693147	0.693147	0.693147
ZFP14	0.65361	0.655236	0.649672	0.669222	0.670968	0.651462	0.683882	0.660165	0.653794	0.648264	0.658447	0.655918	0.663797	0.660526	0.666442	0.672236	0.661612	0.656851	0.662663	0.661156	0.667211	0.660971	0.646376	0.677881	0.66583	0.668555	0.653705	0.674851	0.666043	0.660932	0.642628	0.675459	0.664916	0.665026	0.660229	0.662613	0.666627	0.64235	0.662237	0.666378	0.645747	0.662932	0.669967	0.655802	0.668555	0.662495	0.660261	0.658138	0.656885	0.643045	0.669514	0.66896	0.660403	0.66276	0.664859	0.66382	0.661156	0.662157	0.639207	0.665653	0.654681	0.666119	0.645275	0.659728	0.625765	0.664836	0.643614	0.650997	0.651025	0.654377	0.661816	0.624412	0.678669	0.651811	0.649467	0.663718	0.658625	0.665193	0.666337
ZNF787	0.654119	0.656146	0.659788	0.660749	0.662365	0.657981	0.658999	0.657136	0.654651	0.67325	0.653699	0.65966	0.657952	0.659664	0.657344	0.665663	0.658298	0.662674	0.656326	0.662702	0.657103	0.657003	0.66379	0.650452	0.663819	0.657262	0.670888	0.661722	0.651268	0.652424	0.664179	0.656864	0.658634	0.659456	0.656159	0.66101	0.664989	0.65491	0.657433	0.660787	0.656292	0.659673	0.660814	0.6698	0.654844	0.669821	0.648908	0.653943	0.670665	0.660033	0.661222	0.657991	0.663789	0.65519	0.66627	0.662739	0.664192	0.657314	0.656718	0.658084	0.654875	0.662002	0.655247	0.655861	0.656329	0.6589	0.658224	0.658791	0.660245	0.655764	0.651141	0.651268	0.676934	0.664094	0.658668	0.657314	0.654512	0.655747	0.656083
ZNF473	0.656779	0.662489	0.653361	0.664681	0.660489	0.656637	0.662605	0.65896	0.658073	0.651238	0.64773	0.656553	0.658253	0.660419	0.658411	0.664457	0.659622	0.661024	0.658272	0.662723	0.661316	0.657513	0.655019	0.661874	0.661419	0.657737	0.662425	0.664484	0.66406	0.655919	0.661688	0.658526	0.661617	0.661294	0.659889	0.657281	0.664036	0.650604	0.659442	0.658742	0.655466	0.65906	0.660672	0.658374	0.654785	0.658537	0.657839	0.653825	0.660221	0.654314	0.665305	0.659536	0.66679	0.659426	0.660515	0.659465	0.656382	0.661241	0.660208	0.660555	0.657274	0.659491	0.661688	0.653366	0.654865	0.664603	0.653465	0.657619	0.654568	0.655719	0.663713	0.656534	0.682103	0.659824	0.655578	0.661846	0.657629	0.657475	0.659691
ZNF614	0.655907	0.660259	0.657769	0.66623	0.661768	0.651912	0.669729	0.657821	0.655341	0.663713	0.657476	0.667664	0.666669	0.65503	0.666127	0.672947	0.65565	0.657847	0.65893	0.656209	0.666552	0.663559	0.655703	0.655857	0.671418	0.655373	0.661219	0.670633	0.665661	0.659493	0.654527	0.65904	0.663088	0.663387	0.660168	0.656225	0.658292	0.650596	0.658975	0.65979	0.656845	0.659753	0.655544	0.652864	0.654687	0.660733	0.654554	0.654821	0.654912	0.652916	0.660244	0.659059	0.656003	0.658473	0.65899	0.6586	0.687023	0.660724	0.646208	0.662431	0.653527	0.653842	0.657606	0.644472	0.657189	0.664141	0.653659	0.656952	0.651347	0.658133	0.657316	0.662108	0.686017	0.658448	0.652528	0.662519	0.655755	0.652004	0.659375
RERE	0.661542	0.662541	0.652354	0.660281	0.65936	0.656514	0.663395	0.660152	0.65805	0.659051	0.645843	0.664287	0.664324	0.658338	0.659956	0.663084	0.660429	0.65883	0.660287	0.663677	0.661212	0.660063	0.651869	0.659722	0.662014	0.670552	0.665342	0.664607	0.654789	0.657193	0.673218	0.661522	0.660183	0.664131	0.659409	0.659249	0.662858	0.650007	0.658121	0.663726	0.651939	0.65848	0.661029	0.657371	0.661119	0.666455	0.657578	0.659332	0.658443	0.659475	0.658644	0.659697	0.660988	0.659575	0.66255	0.658822	0.649328	0.65911	0.656569	0.661749	0.650693	0.663277	0.656227	0.655768	0.646821	0.662329	0.651653	0.655902	0.657413	0.649905	0.659797	0.646107	0.675992	0.656716	0.663612	0.662299	0.657455	0.657265	0.660058
PRDM16	0.67471	0.687151	0.615169	0.616553	0.670825	0.691906	0.693147	0.672778	0.685157	0.693147	0.593563	0.684944	0.674377	0.641617	0.661662	0.679014	0.645302	0.650441	0.669038	0.690812	0.650738	0.637514	0.673561	0.680448	0.680269	0.670554	0.659073	0.677224	0.675805	0.659929	0.609929	0.677129	0.683583	0.663803	0.671375	0.666402	0.665661	0.660691	0.689469	0.649584	0.632424	0.673607	0.662171	0.688641	0.678495	0.661856	0.688893	0.668173	0.670133	0.690118	0.648054	0.691705	0.670126	0.664706	0.663486	0.661364	0.618642	0.66774	0.693147	0.664465	0.609377	0.650369	0.691879	0.671424	0.570888	0.674861	0.659819	0.613898	0.656703	0.640348	0.690812	0.616205	0.68632	0.630558	0.638652	0.688963	0.686895	0.629877	0.634578
DMRTA2	0.673779	0.675412	0.693147	0.693147	0.676729	0.691341	0.616303	0.646668	0.656763	0.693147	0.606949	0.643723	0.593394	0.689023	0.63045	0.690913	0.577127	0.622697	0.641817	0.69089	0.591807	0.670288	0.664748	0.693147	0.656292	0.682662	0.664824	0.650353	0.6909	0.689007	0.693147	0.690076	0.689154	0.675191	0.676681	0.687935	0.667531	0.585811	0.688479	0.690471	0.693147	0.671642	0.693147	0.686837	0.531302	0.693147	0.654649	0.687875	0.682918	0.665579	0.688652	0.691931	0.681558	0.637733	0.684999	0.658315	0.693147	0.658553	0.593752	0.680333	0.69089	0.690709	0.69089	0.692148	0.689017	0.67874	0.673778	0.669842	0.592421	0.582168	0.689017	0.69089	0.69089	0.624208	0.689225	0.6909	0.67408	0.584838	0.69027
DMRTB1	0.689641	0.693147	0.693147	0.693147	0.678235	0.693147	0.693147	0.681808	0.693147	0.693147	0.693147	0.693147	0.661897	0.693147	0.662343	0.693147	0.683932	0.669476	0.657989	0.693147	0.656865	0.439556	0.678907	0.693147	0.693147	0.693147	0.693147	0.677331	0.666559	0.680027	0.693147	0.683878	0.682573	0.681523	0.651467	0.693147	0.693147	0.508313	0.679204	0.689568	0.693147	0.687893	0.693147	0.67416	0.693147	0.693147	0.646422	0.654618	0.614763	0.678751	0.687076	0.693147	0.396146	0.672749	0.693147	0.676328	0.693147	0.665872	0.646422	0.675683	0.646422	0.681326	0.693147	0.604034	0.693147	0.688949	0.584673	0.653348	0.673499	0.647147	0.646422	0.693147	0.693147	0.6808	0.673359	0.693147	0.693147	0.637675	0.674238
BARHL2	0.680118	0.693147	0.693147	0.671252	0.693147	0.68793	0.690446	0.678223	0.685052	0.552324	0.693147	0.691948	0.692203	0.642636	0.674807	0.690004	0.687296	0.57775	0.669956	0.693147	0.68905	0.691414	0.326526	0.693147	0.686818	0.693147	0.66506	0.681308	0.690446	0.663405	0.693147	0.684112	0.689715	0.692725	0.685436	0.693147	0.681064	0.571971	0.690861	0.691041	0.693147	0.659587	0.688257	0.674092	0.693147	0.609917	0.659682	0.670816	0.660649	0.649652	0.692378	0.668705	0.677161	0.669476	0.624421	0.666402	0.693147	0.647216	0.693147	0.688659	0.693147	0.691032	0.649834	0.685183	0.693147	0.691227	0.526135	0.659135	0.66209	0.642117	0.684176	0.693147	0.693147	0.656897	0.681751	0.68617	0.693147	0.693147	0.681244
MTF2	0.654406	0.661738	0.66082	0.662442	0.660146	0.65202	0.655001	0.658586	0.661135	0.6496	0.656618	0.661417	0.660194	0.65997	0.661229	0.660584	0.66079	0.659939	0.657747	0.663057	0.660812	0.660724	0.656174	0.660933	0.658666	0.660283	0.662001	0.662957	0.657102	0.657584	0.661377	0.657798	0.661498	0.663135	0.661509	0.658992	0.664893	0.653923	0.657117	0.656006	0.662662	0.661912	0.661628	0.657303	0.66229	0.664223	0.658841	0.65426	0.659815	0.65524	0.665419	0.655988	0.651302	0.659849	0.664915	0.659087	0.663236	0.65855	0.652141	0.662119	0.658643	0.661184	0.662982	0.660142	0.654146	0.66112	0.652896	0.657569	0.655591	0.652743	0.658969	0.655144	0.673733	0.658207	0.651361	0.662636	0.658323	0.655742	0.662829
ZNF697	0.670613	0.670705	0.651187	0.659387	0.649935	0.685235	0.671432	0.656823	0.670688	0.676105	0.645491	0.675432	0.669915	0.649333	0.666904	0.665446	0.650189	0.659434	0.663651	0.672626	0.662573	0.663757	0.663277	0.637922	0.657995	0.669493	0.674093	0.663719	0.659737	0.654863	0.681105	0.682804	0.662347	0.661147	0.66804	0.641322	0.652298	0.661966	0.683762	0.678367	0.674221	0.631366	0.649058	0.653061	0.655456	0.601241	0.665087	0.664322	0.646933	0.648016	0.656544	0.6874	0.646166	0.66082	0.642728	0.65476	0.646017	0.664829	0.644583	0.666536	0.632444	0.660386	0.643815	0.656359	0.672047	0.661578	0.66643	0.665289	0.655877	0.654335	0.640541	0.656596	0.680027	0.65825	0.685261	0.645897	0.656832	0.664405	0.658107
POGK	0.659584	0.660848	0.655766	0.659353	0.662684	0.657153	0.659935	0.657738	0.657583	0.645873	0.66559	0.659462	0.659876	0.659286	0.659418	0.660327	0.660657	0.658995	0.658177	0.659168	0.660844	0.660566	0.655576	0.658835	0.665788	0.657247	0.659173	0.664611	0.664766	0.658645	0.65196	0.657212	0.662079	0.65964	0.657638	0.663787	0.661677	0.653506	0.658555	0.656729	0.651768	0.659267	0.659041	0.657761	0.654821	0.66509	0.657075	0.659898	0.66234	0.655365	0.66219	0.658412	0.661664	0.658335	0.658974	0.658623	0.656387	0.659437	0.660077	0.660358	0.652828	0.658233	0.666209	0.659304	0.651929	0.659089	0.655883	0.657238	0.659618	0.655915	0.657713	0.654781	0.679806	0.658934	0.658526	0.666414	0.659784	0.660753	0.660312
RXRG	0.688095	0.68814	0.689	0.691395	0.69193	0.690735	0.649707	0.679361	0.678697	0.684102	0.679813	0.667057	0.692921	0.68962	0.686102	0.657628	0.674888	0.579932	0.659726	0.693147	0.68208	0.690081	0.595478	0.693147	0.691565	0.693147	0.693147	0.683369	0.690891	0.683667	0.693147	0.671256	0.682338	0.69102	0.677779	0.692295	0.686891	0.575927	0.68936	0.688662	0.500014	0.485645	0.686727	0.67571	0.693147	0.672299	0.693147	0.691026	0.668022	0.647911	0.685704	0.691926	0.631304	0.684252	0.614049	0.673915	0.690881	0.688576	0.693147	0.687933	0.668921	0.689124	0.685648	0.691299	0.685648	0.689683	0.395089	0.692536	0.575416	0.658441	0.693147	0.684102	0.693147	0.671557	0.690107	0.687273	0.691922	0.690896	0.668183
TBX19	0.655007	0.651257	0.668949	0.651658	0.66277	0.651419	0.661619	0.660131	0.662537	0.631678	0.665644	0.655801	0.663893	0.668195	0.658946	0.658949	0.657946	0.664078	0.6507	0.65086	0.648035	0.656388	0.651875	0.674642	0.66919	0.680745	0.664624	0.655685	0.675225	0.651295	0.662134	0.630184	0.668557	0.659765	0.655468	0.670753	0.670599	0.642921	0.660741	0.648121	0.650498	0.651221	0.669925	0.657149	0.66177	0.661233	0.653812	0.649931	0.667217	0.658519	0.661988	0.659711	0.660339	0.655928	0.671023	0.665713	0.6727	0.654127	0.66966	0.660468	0.661233	0.663594	0.655924	0.674823	0.625311	0.647625	0.678663	0.666716	0.664733	0.644324	0.644981	0.662689	0.673516	0.665804	0.648408	0.666931	0.666414	0.666918	0.66395
POU2F1	0.656772	0.657287	0.658887	0.65934	0.661087	0.650172	0.664697	0.657556	0.660108	0.651117	0.657313	0.664293	0.661714	0.664	0.656172	0.662159	0.665113	0.661251	0.658127	0.663599	0.659973	0.659673	0.659125	0.661214	0.653693	0.65974	0.656137	0.664875	0.659031	0.657797	0.659952	0.657866	0.662914	0.663322	0.661354	0.665398	0.669569	0.646104	0.653179	0.65723	0.65017	0.661097	0.665351	0.65929	0.665121	0.666978	0.660644	0.656015	0.663129	0.653653	0.671252	0.654963	0.646486	0.658852	0.666008	0.663661	0.654009	0.661182	0.641896	0.662556	0.652256	0.664125	0.658558	0.656928	0.642834	0.663862	0.642471	0.658772	0.660188	0.654576	0.660167	0.657313	0.679974	0.666821	0.651946	0.667485	0.659321	0.661093	0.663571
NR1I3	0.653	0.646936	0.67721	0.665479	0.668194	0.668914	0.672788	0.65888	0.642687	0.620939	0.675681	0.674866	0.67434	0.639449	0.660593	0.668466	0.663433	0.654717	0.657128	0.683095	0.663408	0.663795	0.650622	0.65557	0.662998	0.646063	0.675681	0.674128	0.635928	0.64915	0.660091	0.649699	0.668881	0.670647	0.652139	0.669381	0.668608	0.640761	0.651045	0.649316	0.593759	0.658664	0.659471	0.670573	0.668143	0.640881	0.647655	0.656248	0.662476	0.642639	0.671419	0.661516	0.672287	0.653381	0.667555	0.656715	0.675681	0.661928	0.683095	0.668577	0.617429	0.668729	0.67349	0.649714	0.638158	0.668679	0.670219	0.658563	0.668004	0.662082	0.674938	0.667518	0.679619	0.665653	0.65571	0.685016	0.658879	0.661017	0.660848
LHX9	0.68763	0.648276	0.680177	0.65247	0.655052	0.690306	0.681137	0.665598	0.645416	0.686844	0.581453	0.631788	0.634721	0.553749	0.675464	0.692458	0.633437	0.665521	0.674284	0.693147	0.65829	0.668846	0.610648	0.680177	0.693147	0.691584	0.693147	0.672934	0.690929	0.656201	0.693147	0.642438	0.669532	0.670004	0.668723	0.683429	0.636265	0.61908	0.691144	0.686711	0.693147	0.677529	0.635838	0.65709	0.68195	0.693147	0.691584	0.674112	0.632562	0.619985	0.649135	0.692308	0.686039	0.66223	0.680531	0.633643	0.662735	0.676375	0.693147	0.673411	0.607125	0.652107	0.661593	0.645796	0.592054	0.680523	0.647909	0.627863	0.674398	0.63717	0.679321	0.676861	0.693147	0.655844	0.68309	0.691591	0.680169	0.618695	0.672645
RORC	0.688359	0.638492	0.68431	0.623156	0.661742	0.686365	0.68978	0.688096	0.616421	0.54899	0.688566	0.619664	0.649499	0.677571	0.643109	0.68957	0.680558	0.686405	0.665259	0.693147	0.670627	0.647537	0.690127	0.691071	0.692728	0.575527	0.691071	0.682595	0.642012	0.659908	0.689361	0.650945	0.661754	0.650822	0.622924	0.685252	0.688679	0.648937	0.684328	0.600197	0.605387	0.681301	0.691545	0.686944	0.632837	0.658338	0.693147	0.684361	0.687656	0.670765	0.686513	0.664336	0.686857	0.645049	0.675816	0.68961	0.596169	0.663219	0.691071	0.665609	0.650562	0.686708	0.596169	0.614438	0.600485	0.679996	0.677183	0.690562	0.679805	0.683126	0.636227	0.693147	0.687801	0.689585	0.632221	0.690196	0.691545	0.679183	0.649379
ZNF687	0.658567	0.658277	0.662808	0.659808	0.66199	0.656641	0.664811	0.658205	0.653865	0.656258	0.653571	0.661123	0.659752	0.661296	0.658295	0.658701	0.659908	0.660172	0.658748	0.663936	0.658446	0.658328	0.656617	0.661355	0.657637	0.651071	0.669214	0.662669	0.659113	0.658504	0.652609	0.658478	0.66301	0.661128	0.657152	0.662769	0.666123	0.653873	0.657433	0.657654	0.653971	0.660282	0.6637	0.661438	0.661848	0.655939	0.660132	0.658361	0.66064	0.6556	0.663505	0.657767	0.658096	0.657532	0.661082	0.658457	0.657032	0.658806	0.653795	0.660516	0.649336	0.66107	0.66149	0.658648	0.648857	0.662489	0.646303	0.66003	0.659309	0.654759	0.660212	0.660162	0.684144	0.658983	0.65811	0.661498	0.659814	0.663183	0.661355
SETDB1	0.656384	0.656881	0.66039	0.66087	0.660589	0.655325	0.665316	0.658929	0.657105	0.652298	0.65753	0.659973	0.661733	0.662395	0.659999	0.660833	0.660655	0.659143	0.659252	0.662504	0.659565	0.65983	0.656011	0.659204	0.657698	0.655858	0.660464	0.662759	0.661206	0.658886	0.657206	0.659074	0.663387	0.661017	0.659205	0.663574	0.664293	0.654675	0.656593	0.65708	0.653605	0.660251	0.662681	0.660002	0.664074	0.656728	0.657035	0.656265	0.658495	0.654133	0.662646	0.656593	0.654752	0.658471	0.660648	0.65883	0.656121	0.659485	0.659691	0.661044	0.656372	0.661699	0.65934	0.658407	0.653585	0.660681	0.652393	0.658126	0.657856	0.656889	0.661074	0.657151	0.673366	0.658722	0.656257	0.662063	0.661126	0.660282	0.661481
RFX5	0.657066	0.659407	0.660599	0.65907	0.65991	0.652085	0.662965	0.659931	0.659196	0.650309	0.657376	0.660066	0.659741	0.659198	0.661267	0.663363	0.65969	0.659215	0.659087	0.660947	0.661525	0.661924	0.656032	0.661205	0.672845	0.657618	0.661775	0.66572	0.667225	0.660338	0.657042	0.651134	0.660512	0.662417	0.660489	0.659711	0.663135	0.65778	0.652488	0.652038	0.654807	0.657769	0.659706	0.656803	0.66023	0.655353	0.655928	0.65715	0.657227	0.655988	0.662677	0.651391	0.660176	0.659136	0.658611	0.658085	0.665961	0.659094	0.657599	0.661692	0.654991	0.66113	0.663644	0.659524	0.653676	0.660923	0.652688	0.654652	0.659408	0.655454	0.66335	0.655258	0.681646	0.655857	0.653315	0.66334	0.660299	0.659695	0.660153
ARNT	0.657386	0.660108	0.657357	0.661192	0.657051	0.658829	0.664173	0.659486	0.657582	0.653342	0.650919	0.660581	0.661969	0.660181	0.662625	0.661992	0.65915	0.660732	0.659464	0.662345	0.660711	0.660729	0.657138	0.663247	0.660612	0.65335	0.665013	0.663649	0.66308	0.657409	0.65883	0.657942	0.665552	0.663111	0.659611	0.657557	0.662578	0.654473	0.657589	0.657202	0.655091	0.660466	0.6614	0.658863	0.670615	0.65814	0.654109	0.657781	0.656606	0.656136	0.657956	0.65789	0.656108	0.658154	0.66172	0.655138	0.659332	0.658944	0.659246	0.663642	0.656875	0.659843	0.65822	0.658743	0.652292	0.661288	0.654571	0.656232	0.657482	0.652467	0.654325	0.652333	0.678584	0.657012	0.658273	0.664151	0.660847	0.660504	0.658976
CREB3L4	0.657724	0.652429	0.661122	0.657614	0.66207	0.652441	0.665491	0.659906	0.640587	0.645767	0.663337	0.657104	0.661518	0.66429	0.657801	0.660048	0.663941	0.660154	0.660111	0.666975	0.659093	0.65898	0.657934	0.662428	0.656113	0.653488	0.662038	0.663905	0.66429	0.66094	0.656443	0.659973	0.661169	0.658701	0.647928	0.660667	0.66789	0.651728	0.657779	0.66095	0.650648	0.661399	0.665387	0.663853	0.672916	0.654486	0.660762	0.654778	0.660308	0.649932	0.668593	0.660902	0.658819	0.657683	0.659253	0.661555	0.660082	0.659318	0.660643	0.659044	0.64629	0.664737	0.659673	0.642298	0.645061	0.664113	0.642191	0.664849	0.661715	0.656896	0.67252	0.665861	0.678093	0.659577	0.657094	0.662211	0.6611	0.665001	0.662208
GATAD2B	0.657127	0.663993	0.66347	0.661158	0.660437	0.652056	0.665269	0.661668	0.656658	0.644519	0.653062	0.660321	0.659734	0.66349	0.661687	0.658976	0.660872	0.660366	0.659012	0.666585	0.66125	0.660565	0.654213	0.661321	0.662868	0.651438	0.661004	0.664134	0.667495	0.661193	0.659735	0.656611	0.663255	0.662578	0.658213	0.657964	0.665712	0.650766	0.654227	0.655343	0.648959	0.658953	0.661314	0.657389	0.666585	0.655514	0.659961	0.654439	0.658615	0.652252	0.664238	0.657748	0.659013	0.659726	0.660615	0.655899	0.658632	0.660257	0.659243	0.663433	0.653872	0.659504	0.664356	0.65776	0.649043	0.665972	0.648739	0.660307	0.660189	0.653991	0.660471	0.656338	0.682175	0.657126	0.651437	0.660627	0.660123	0.662147	0.662501
SOX13	0.679777	0.655615	0.667281	0.655743	0.658987	0.678776	0.65123	0.647955	0.638064	0.661972	0.660336	0.655568	0.656153	0.67022	0.650822	0.647671	0.656077	0.665562	0.652779	0.678341	0.646214	0.651916	0.669292	0.667204	0.63473	0.653866	0.687809	0.651607	0.649805	0.651521	0.665232	0.667109	0.658375	0.656529	0.644885	0.659061	0.667223	0.648251	0.689	0.686059	0.635533	0.64704	0.662941	0.662102	0.642438	0.65126	0.69031	0.680623	0.664205	0.678023	0.663762	0.68669	0.644222	0.652701	0.663052	0.664889	0.644861	0.655369	0.642061	0.648154	0.643523	0.658935	0.653459	0.650609	0.637182	0.670545	0.675205	0.66951	0.653327	0.656781	0.655611	0.662448	0.669607	0.666268	0.686426	0.667759	0.651824	0.661803	0.664519
OSR1	0.687245	0.655612	0.689549	0.655465	0.66559	0.688947	0.687479	0.646693	0.688852	0.580663	0.650431	0.686055	0.666767	0.672687	0.652809	0.6919	0.635776	0.666662	0.661624	0.667131	0.672979	0.649561	0.671411	0.69034	0.693147	0.666772	0.656313	0.675328	0.631157	0.64231	0.693147	0.690365	0.620928	0.645057	0.661409	0.615727	0.625095	0.668756	0.68882	0.690904	0.673022	0.679727	0.65259	0.651771	0.61019	0.693147	0.688066	0.67282	0.64629	0.665946	0.582587	0.691199	0.689589	0.64853	0.660381	0.640924	0.640127	0.663859	0.693147	0.649236	0.657671	0.645082	0.666416	0.648588	0.676632	0.654796	0.692083	0.682714	0.656408	0.6306	0.637533	0.684126	0.692078	0.625096	0.690108	0.65171	0.607969	0.684449	0.669903
MEIS1	0.648061	0.638849	0.660812	0.659739	0.671744	0.663565	0.660303	0.664922	0.660768	0.672112	0.634472	0.65476	0.655187	0.66287	0.678275	0.659854	0.652383	0.65443	0.653728	0.681516	0.660087	0.663989	0.621328	0.673407	0.66931	0.649698	0.687506	0.661493	0.664539	0.659662	0.681516	0.659023	0.672486	0.672312	0.667014	0.6387	0.659988	0.649281	0.669942	0.673213	0.668789	0.660772	0.663293	0.65435	0.651133	0.664482	0.686982	0.666188	0.652476	0.624469	0.645481	0.664233	0.676005	0.665044	0.666013	0.651077	0.670902	0.649619	0.655205	0.656988	0.644078	0.671122	0.629163	0.659891	0.630007	0.671385	0.641981	0.647604	0.657685	0.655384	0.671886	0.682285	0.672457	0.646374	0.675334	0.656188	0.656485	0.65521	0.668769
ZNF514	0.66254	0.65262	0.660878	0.661917	0.660402	0.665844	0.67128	0.656392	0.655183	0.647658	0.683335	0.661796	0.660244	0.652644	0.657298	0.660514	0.657101	0.658565	0.659099	0.655646	0.658093	0.659748	0.655102	0.666873	0.662029	0.661637	0.649236	0.660295	0.662168	0.660395	0.661508	0.663703	0.662892	0.660847	0.657446	0.657671	0.661263	0.650678	0.663674	0.66503	0.650435	0.660483	0.666186	0.655582	0.664188	0.665656	0.67003	0.663029	0.661166	0.652247	0.660507	0.665399	0.659011	0.656168	0.664862	0.658228	0.658939	0.658025	0.655006	0.658629	0.655322	0.660394	0.650188	0.657889	0.651858	0.655818	0.652251	0.653678	0.657179	0.651354	0.654471	0.645782	0.670576	0.660951	0.661018	0.663021	0.655881	0.659362	0.659736
ZC3H8	0.655165	0.65925	0.658472	0.661578	0.65956	0.653705	0.660884	0.659984	0.656893	0.653343	0.660125	0.661	0.659092	0.656664	0.656083	0.65834	0.660847	0.659647	0.659389	0.660253	0.656641	0.658204	0.654759	0.658231	0.658245	0.654166	0.67068	0.660869	0.660714	0.660428	0.665918	0.655335	0.662815	0.661288	0.659447	0.657188	0.666264	0.653693	0.655908	0.653452	0.654172	0.659263	0.659025	0.659843	0.659811	0.664162	0.659729	0.656603	0.661239	0.655469	0.664421	0.654935	0.665133	0.657493	0.658302	0.659359	0.659598	0.660067	0.659183	0.659973	0.649886	0.658447	0.665157	0.655415	0.656648	0.661235	0.655083	0.657194	0.65671	0.657689	0.662206	0.663253	0.673475	0.660503	0.652298	0.664248	0.65962	0.661273	0.662992
