division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	LYL1	non_specific	25	0.622532	6.84	-0.118
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	HOXA9	non_specific	52	0.647762	6.84	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	DMTF1	non_specific	610	0.673022	6.82	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	XBP1	non_specific	918	0.675833	6.81	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	DNMT1	non_specific	928	0.675981	6.8	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	TP53	non_specific	547	0.672441	6.8	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	PBX2	non_specific	596	0.672946	6.77	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	BCLAF1	non_specific	775	0.674423	6.74	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	GATA2	non_specific	88	0.655984	6.73	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	AKNA	non_specific	124	0.660604	6.69	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	SATB1	non_specific	64	0.650828	6.69	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	AHRR	non_specific	59	0.650117	6.69	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ZNF146	non_specific	853	0.67517	6.68	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	CXXC5	non_specific	319	0.669472	6.65	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	MEF2C	non_specific	56	0.649534	6.65	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	USF2	non_specific	904	0.67564	6.65	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	SP100	non_specific	409	0.671034	6.6	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	GLYR1	non_specific	678	0.673656	6.59	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	NFE2	non_specific	19	0.610443	6.57	-0.649
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	SMAD2	non_specific	710	0.67385	6.55	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	CEBPA	non_specific	37	0.638768	6.52	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	STAT5B	non_specific	326	0.669533	6.51	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	E2F4	non_specific	854	0.675171	6.45	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ZNF655	non_specific	579	0.672819	6.43	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	TCF3	non_specific	913	0.67576	6.4	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	CAMTA2	non_specific	468	0.671671	6.38	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ZBTB7B	non_specific	273	0.668305	6.37	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	FOSL2	non_specific	291	0.668849	6.37	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	CGGBP1	non_specific	689	0.673722	6.35	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	CXXC1	non_specific	674	0.67363	6.34	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ARID1A	non_specific	532	0.672313	6.34	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	UBTF	non_specific	805	0.674675	6.34	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	SPEN	non_specific	458	0.671582	6.33	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	TFDP1	non_specific	965	0.676545	6.33	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	TSC22D4	non_specific	492	0.671867	6.3	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	GTF3A	non_specific	988	0.676963	6.28	-0.104
