division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreeLineage	Biliary Tract	38	ZNF706	non_specific	263	0.615091	6.51	-0.044
OncotreeLineage	Biliary Tract	38	NFE2L1	non_specific	516	0.61908	6.46	-0.044
OncotreeLineage	Biliary Tract	38	CENPX	non_specific	356	0.616877	6.38	-0.044
OncotreeLineage	Biliary Tract	38	PLSCR1	non_specific	104	0.605097	6.38	-0.044
OncotreeLineage	Biliary Tract	38	TGIF1	non_specific	183	0.612117	6.36	-0.044
OncotreeLineage	Biliary Tract	38	GTF3A	non_specific	317	0.616233	6.36	-0.044
OncotreeLineage	Biliary Tract	38	MYC	non_specific	195	0.612809	6.35	-0.044
OncotreeLineage	Biliary Tract	38	DDIT3	non_specific	163	0.611188	6.32	-0.044
OncotreeLineage	Biliary Tract	38	ID1	non_specific	216	0.613683	6.26	-0.044
OncotreeLineage	Biliary Tract	38	NFE2L2	non_specific	225	0.613992	6.2	-0.044
OncotreeLineage	Biliary Tract	38	CAMTA1	non_specific	400	0.617566	6.2	-0.044
OncotreeLineage	Biliary Tract	38	ELF3	non_specific	26	0.578839	6.16	-0.044
OncotreeLineage	Biliary Tract	38	HMGN3	non_specific	583	0.620013	6.12	-0.044
OncotreeLineage	Biliary Tract	38	SREBF1	non_specific	281	0.61546	6.08	-0.044
OncotreeLineage	Biliary Tract	38	SON	non_specific	713	0.621592	6.07	-0.044
OncotreeLineage	Biliary Tract	38	ZNF146	non_specific	306	0.61605	6.07	-0.044
OncotreeLineage	Biliary Tract	38	IRF3	non_specific	332	0.616527	5.94	-0.044
OncotreeLineage	Biliary Tract	38	TFDP1	non_specific	480	0.618685	5.93	-0.044
OncotreeLineage	Biliary Tract	38	ZNF664	non_specific	288	0.615627	5.89	-0.044
OncotreeLineage	Biliary Tract	38	STAT1	non_specific	293	0.615674	5.89	-0.044
OncotreeLineage	Biliary Tract	38	GTF2I	non_specific	726	0.621768	5.77	-0.044
OncotreeLineage	Biliary Tract	38	FOSL1	non_specific	91	0.604247	5.77	-0.044
OncotreeLineage	Biliary Tract	38	USF2	non_specific	607	0.620257	5.72	-0.044
OncotreeLineage	Biliary Tract	38	CHCHD3	non_specific	643	0.620756	5.7	-0.044
OncotreeLineage	Biliary Tract	38	PIN1	non_specific	506	0.618999	5.69	-0.044
OncotreeLineage	Biliary Tract	38	GPBP1L1	non_specific	398	0.617522	5.65	-0.044
OncotreeLineage	Biliary Tract	38	SNAPC5	non_specific	278	0.615412	5.62	-0.044
OncotreeLineage	Biliary Tract	38	JUNB	non_specific	140	0.60969	5.62	-0.044
OncotreeLineage	Biliary Tract	38	KLF5	non_specific	49	0.59031	5.59	-0.044
OncotreeLineage	Biliary Tract	38	STAT6	non_specific	251	0.614781	5.57	-0.044
OncotreeLineage	Biliary Tract	38	DNTTIP1	non_specific	236	0.614371	5.51	-0.044
OncotreeLineage	Biliary Tract	38	KCMF1	non_specific	411	0.617712	5.47	-0.044
OncotreeLineage	Biliary Tract	38	TSC22D1	non_specific	224	0.613989	5.47	-0.044
OncotreeLineage	Biliary Tract	38	CEBPZ	non_specific	368	0.616992	5.46	-0.044
OncotreeLineage	Biliary Tract	38	DNMT1	non_specific	960	0.62543	5.4	-0.044
OncotreeLineage	Biliary Tract	38	E2F4	non_specific	599	0.620116	5.38	-0.044
OncotreeLineage	Biliary Tract	38	HSF1	non_specific	472	0.618501	5.38	-0.044
OncotreeLineage	Biliary Tract	38	ATF6B	non_specific	517	0.619083	5.37	-0.044
OncotreeLineage	Biliary Tract	38	MAX	non_specific	489	0.618812	5.37	-0.044
OncotreeLineage	Biliary Tract	38	ID3	non_specific	962	0.625466	5.36	-0.044
OncotreeLineage	Biliary Tract	38	REPIN1	non_specific	497	0.618914	5.34	-0.044
OncotreeLineage	Biliary Tract	38	BCLAF1	non_specific	584	0.620021	5.34	-0.044
OncotreeLineage	Biliary Tract	38	SP100	non_specific	93	0.604354	5.34	-0.044
OncotreeLineage	Biliary Tract	38	FAM200B	non_specific	202	0.61308	5.33	-0.044
OncotreeLineage	Biliary Tract	38	SREBF2	non_specific	604	0.62025	5.32	-0.044
OncotreeLineage	Biliary Tract	38	ADNP	non_specific	459	0.618232	5.32	-0.044
OncotreeLineage	Biliary Tract	38	GPBP1	non_specific	380	0.617136	5.3	-0.044
OncotreeLineage	Biliary Tract	38	RELA	non_specific	392	0.617379	5.28	-0.044
OncotreeLineage	Biliary Tract	38	YY1	non_specific	324	0.616373	5.28	-0.044
OncotreeLineage	Biliary Tract	38	MLX	non_specific	354	0.616844	5.26	-0.044
OncotreeLineage	Biliary Tract	38	BHLHE40	non_specific	143	0.609931	5.25	-0.044
OncotreeLineage	Biliary Tract	38	PHF19	non_specific	456	0.618213	5.22	-0.044
OncotreeLineage	Biliary Tract	38	SMAD2	non_specific	440	0.618083	5.21	-0.044
OncotreeLineage	Biliary Tract	38	SLC2A4RG	non_specific	526	0.619182	5.2	-0.044
OncotreeLineage	Biliary Tract	38	SAFB	non_specific	872	0.62379	5.15	-0.044
OncotreeLineage	Biliary Tract	38	TCF3	non_specific	846	0.623506	5.13	-0.044
OncotreeLineage	Biliary Tract	38	THYN1	non_specific	496	0.618902	5.11	-0.044
OncotreeLineage	Biliary Tract	38	CREB3	non_specific	421	0.61786	5.1	-0.044
OncotreeLineage	Biliary Tract	38	STAT3	non_specific	340	0.616679	5.1	-0.044
OncotreeLineage	Biliary Tract	38	THAP4	non_specific	377	0.617091	5.09	-0.044
OncotreeLineage	Biliary Tract	38	HMG20B	non_specific	702	0.621477	5.08	-0.044
OncotreeLineage	Biliary Tract	38	GTF2B	non_specific	261	0.615005	5.06	-0.044
OncotreeLineage	Biliary Tract	38	SMAD3	non_specific	150	0.610317	5.06	-0.044
OncotreeLineage	Biliary Tract	38	IRF1	non_specific	118	0.607641	5.05	-0.044
OncotreeLineage	Biliary Tract	38	TP53	non_specific	291	0.61567	5.04	-0.044
OncotreeLineage	Biliary Tract	38	USF1	non_specific	687	0.621312	5.04	-0.044
OncotreeLineage	Biliary Tract	38	NR2F2	non_specific	95	0.604522	5.02	-0.044
OncotreeLineage	Biliary Tract	38	THAP12	non_specific	345	0.616731	4.99	-0.044
OncotreeLineage	Biliary Tract	38	CBFB	non_specific	469	0.618431	4.98	-0.044
OncotreeLineage	Biliary Tract	38	GLYR1	non_specific	620	0.620418	4.97	-0.044
OncotreeLineage	Biliary Tract	38	SP3	non_specific	344	0.616731	4.97	-0.044
OncotreeLineage	Bladder/Urinary Tract	37	ZNF750	specific	6	0.533995	1.1	-3.723
OncotreeLineage	Bladder/Urinary Tract	37	TP63	specific	7	0.539286	2.86	-3.137
OncotreeLineage	Bladder/Urinary Tract	37	OVOL1	specific	10	0.551056	2.25	-1.982
OncotreeLineage	Bladder/Urinary Tract	37	GRHL2	specific	11	0.552831	3.35	-1.843
OncotreeLineage	Bladder/Urinary Tract	37	GRHL3	specific	12	0.553858	1.89	-1.779
OncotreeLineage	Bladder/Urinary Tract	37	GATA3	specific	14	0.554669	3.98	-1.766
OncotreeLineage	Bladder/Urinary Tract	37	BATF	specific	15	0.555475	2.2	-1.717
OncotreeLineage	Bladder/Urinary Tract	37	HOXD4	specific	16	0.556092	1.74	-1.686
OncotreeLineage	Bladder/Urinary Tract	37	ZNF488	specific	19	0.560101	2.46	-1.415
OncotreeLineage	Bladder/Urinary Tract	37	SP6	specific	22	0.563648	2.18	-1.153
OncotreeLineage	Bladder/Urinary Tract	37	SOX7	specific	23	0.563709	2.23	-1.153
OncotreeLineage	Bladder/Urinary Tract	37	PPARG	specific	25	0.565189	5.29	-1.076
OncotreeLineage	Bladder/Urinary Tract	37	IRF6	specific	27	0.565509	4.14	-1.071
OncotreeLineage	Bladder/Urinary Tract	37	ZBED2	specific	28	0.566016	2.12	-1.045
OncotreeLineage	Bladder/Urinary Tract	37	KLF8	specific	29	0.566635	1.24	-1.01
OncotreeLineage	Bladder/Urinary Tract	37	NME2	non_specific	867	0.617246	10.01	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	YBX1	non_specific	774	0.616312	9.62	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	ATF4	non_specific	890	0.617517	8.62	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	HMGA1	non_specific	581	0.614547	8.05	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	DRAP1	non_specific	618	0.614931	7.95	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	PA2G4	non_specific	677	0.615494	7.86	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	YBX3	non_specific	314	0.611039	7.78	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	ID1	non_specific	172	0.603837	7.29	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	MAZ	non_specific	835	0.616939	7.18	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	ZNF207	non_specific	692	0.615595	7.03	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	ID3	non_specific	323	0.611357	6.84	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	SON	non_specific	786	0.61644	6.64	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	GTF2I	non_specific	507	0.613859	6.61	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	NFE2L1	non_specific	939	0.617992	6.58	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	TFDP1	non_specific	411	0.61278	6.55	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	CENPX	non_specific	674	0.615452	6.54	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	HIF1A	non_specific	529	0.614048	6.52	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	RBCK1	non_specific	472	0.613527	6.51	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	DNMT1	non_specific	675	0.615455	6.44	-0.048
OncotreeLineage	Bladder/Urinary Tract	37	ZNF706	non_specific	845	0.616973	6.31	-0.048
