	Adrenal Gland	Ampulla of Vater	Biliary Tract	Bladder/Urinary Tract	Bone	Bowel	Breast	CNS/Brain	Cervix	Esophagus/Stomach	Eye	Fibroblast	Head and Neck	Kidney	Liver	Lung	Lymphoid	Myeloid	Ovary/Fallopian Tube	Pancreas	Peripheral Nervous System	Pleura	Prostate	Skin	Soft Tissue	Testis	Thyroid	Uterus	Vulva/Vagina
ZNF669	0.602724	0.61512	0.620505	0.617056	0.610168	0.617205	0.614167	0.619746	0.623701	0.622884	0.615335	0.634761	0.632628	0.623811	0.617096	0.611636	0.61155	0.617148	0.61571	0.624339	0.594024	0.613351	0.616688	0.620848	0.612337	0.598141	0.624418	0.61527	0.655469
PLSCR1	0.641596	0.601655	0.605097	0.609478	0.625571	0.609592	0.622372	0.615776	0.610491	0.610971	0.625121	0.628789	0.606367	0.621902	0.623042	0.617427	0.633199	0.617572	0.61448	0.6076	0.632976	0.612945	0.619957	0.607084	0.623419	0.627619	0.615552	0.619613	0.60822
ZNF559	0.691123	0.623932	0.623531	0.616148	0.603667	0.633541	0.625323	0.607241	0.615453	0.632814	0.607958	0.61568	0.626662	0.627501	0.615355	0.612699	0.615831	0.609065	0.620626	0.629921	0.601245	0.612704	0.609004	0.610074	0.60941	0.591363	0.6169	0.618702	0.607954
HMX3	0.542129	0.685051	0.651976	0.654716	0.586213	0.643478	0.638307	0.621286	0.545917	0.624125	0.668181	0.674285	0.661899	0.685566	0.600583	0.570135	0.600983	0.470988	0.660535	0.620136	0.546092	0.624161	0.625096	0.620716	0.565216	0.690947	0.688684	0.666344	0.687417
ZNF177	0.693147	0.652569	0.627303	0.624621	0.588468	0.639982	0.617935	0.596007	0.621125	0.636263	0.604586	0.638598	0.628462	0.615621	0.624493	0.612393	0.606483	0.59551	0.61617	0.629116	0.586707	0.606331	0.604024	0.630768	0.593512	0.574205	0.616288	0.601189	0.67557
SKOR1	0.640479	0.659937	0.642772	0.628398	0.595646	0.608389	0.627859	0.62299	0.613008	0.600975	0.653572	0.653526	0.630916	0.614037	0.639099	0.544838	0.552809	0.578812	0.648918	0.637801	0.605116	0.65461	0.593533	0.65108	0.537616	0.644612	0.60188	0.637586	0.668977
ZNF548	0.637756	0.623661	0.621823	0.619887	0.613016	0.638948	0.618465	0.614761	0.614019	0.618945	0.620014	0.62312	0.622841	0.61986	0.609156	0.608723	0.602459	0.600747	0.621854	0.615979	0.602659	0.613489	0.608741	0.61617	0.616617	0.612821	0.622608	0.62262	0.633077
MTF1	0.616617	0.613322	0.621765	0.61063	0.615873	0.618213	0.615433	0.611922	0.621055	0.615671	0.632873	0.609616	0.623394	0.620047	0.615799	0.608116	0.615793	0.615736	0.616977	0.618147	0.620134	0.610027	0.611705	0.615705	0.61809	0.624364	0.611925	0.614377	0.650359
HMX2	0.650028	0.690535	0.662352	0.663293	0.553353	0.648277	0.636038	0.628087	0.55366	0.63301	0.640482	0.668305	0.666325	0.67919	0.597976	0.503867	0.5532	0.521922	0.633904	0.62821	0.537654	0.639377	0.599258	0.649967	0.637666	0.675685	0.650292	0.602408	0.693147
ZNF563	0.580097	0.597221	0.625267	0.620173	0.60664	0.614433	0.617373	0.607239	0.636546	0.627903	0.633092	0.59965	0.636749	0.630236	0.621587	0.626502	0.618568	0.621345	0.617855	0.625213	0.610734	0.615737	0.603674	0.627007	0.60107	0.613065	0.610742	0.614927	0.665289
BSX	0.438466	0.587984	0.652793	0.645173	0.606372	0.685885	0.693147	0.634601	0.674395	0.677172	0.654038	0.678041	0.684161	0.683523	0.675074	0.33453	0.639429	0.677861	0.643491	0.645943	0.529509	0.675145	0.648526	0.656678	0.636569	0.642524	0.608949	0.636851	0.693147
MSANTD1	0.643485	0.641004	0.634279	0.610111	0.614703	0.611836	0.573959	0.61541	0.6316	0.612047	0.661704	0.630362	0.627401	0.621282	0.591782	0.577605	0.602168	0.627219	0.582055	0.608392	0.610834	0.638439	0.597398	0.627977	0.633679	0.636938	0.623028	0.591262	0.667398
ZNF292	0.612086	0.603259	0.622036	0.61345	0.610692	0.616314	0.620728	0.614139	0.623777	0.616129	0.628081	0.620316	0.626412	0.619008	0.616542	0.610156	0.606379	0.604471	0.61756	0.619189	0.60416	0.624183	0.615399	0.624477	0.616545	0.628244	0.618354	0.612455	0.650594
ZNF567	0.61005	0.630436	0.617934	0.614079	0.614336	0.626677	0.615388	0.616501	0.607244	0.626211	0.619887	0.628132	0.636454	0.620867	0.616433	0.61016	0.61957	0.613668	0.614276	0.61896	0.609078	0.611336	0.608729	0.623235	0.611978	0.602687	0.623781	0.611693	0.633958
ARID2	0.605728	0.619812	0.622703	0.616706	0.608499	0.617976	0.617202	0.619837	0.6174	0.618142	0.621643	0.629984	0.627125	0.617693	0.616729	0.611638	0.609057	0.608379	0.616574	0.620757	0.604922	0.619049	0.618051	0.621682	0.615465	0.609248	0.622545	0.613085	0.645972
SP6	0.676713	0.600661	0.587908	0.563648	0.661598	0.540867	0.548948	0.628926	0.585251	0.581023	0.658461	0.677641	0.572719	0.632242	0.640078	0.59162	0.676436	0.658522	0.618299	0.593671	0.666753	0.643358	0.573889	0.669771	0.644575	0.648344	0.643348	0.596152	0.64845
ZNF573	0.60827	0.636005	0.623209	0.616243	0.609615	0.61789	0.612568	0.612919	0.630492	0.623689	0.62945	0.624122	0.64906	0.618215	0.618442	0.603463	0.622329	0.603153	0.617287	0.624447	0.595302	0.6152	0.619676	0.621799	0.610565	0.61061	0.611203	0.61616	0.61531
ZNF527	0.596489	0.640801	0.627247	0.619619	0.599464	0.631101	0.617314	0.605048	0.611409	0.619632	0.612654	0.61949	0.642991	0.6262	0.615321	0.606383	0.609924	0.612348	0.617983	0.627243	0.602883	0.610977	0.610865	0.621137	0.607083	0.626976	0.620117	0.619567	0.64036
ZNF33A	0.608512	0.61235	0.619521	0.616797	0.617632	0.613222	0.612558	0.622382	0.616397	0.618439	0.61864	0.629769	0.628598	0.615016	0.614013	0.613805	0.60843	0.61035	0.614174	0.617855	0.609187	0.615706	0.607406	0.628352	0.621386	0.627014	0.617471	0.614851	0.643471
